caller	provider	method	caller_path	norm_path	provider_path	provider_claim	candidates	caller_body	caller_return	provider_body	provider_return	s2_typing	untyped_as_written	untyped_refined	both_sides_untyped_as_written	edge_claim
gate	clouddriver	GET	/applications/{name}/serverGroups/{account}/{region}/{serverGroupName}	/applications/{}/serverGroups/{}/{}/{}	/applications/{application}/serverGroups/{account}/{region}/{name:.+}	CLAIM-S2-R0421	1	-	Call<Map>	-	ServerGroup	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:150
gate	clouddriver	GET	/{provider}/loadBalancers	/{}/loadBalancers	/{cloudProvider:.+}/loadBalancers	CLAIM-S2-R0395	1	-	Call<List<Map>>	-	List<LoadBalancerProvider.Item>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:167
gate	clouddriver	GET	/applications/{name}/loadBalancers	/applications/{}/loadBalancers	/applications/{application}/loadBalancers	CLAIM-S2-R0394	1	-	Call<List<Map>>	-	List<LoadBalancer>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:171
gate	clouddriver	GET	/{provider}/loadBalancers/{name}	/{}/loadBalancers/{}	/{cloudProvider:.+}/loadBalancers/{name:.+}	CLAIM-S2-R0396	1	-	Call<Map>	-	LoadBalancerProvider.Item	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:175
gate	clouddriver	GET	/{provider}/loadBalancers/{account}/{region}/{name}	/{}/loadBalancers/{}/{}/{}	/{cloudProvider:.+}/loadBalancers/{account:.+}/{region:.+}/{name:.+}	CLAIM-S2-R0397	1	-	Call<List<Map>>	-	List<LoadBalancerProvider.Details>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:179
gate	clouddriver	GET	/instances/{account}/{region}/{instanceId}	/instances/{}/{}/{}	/instances/{account}/{region}/{id:.+}	CLAIM-S2-R0387	1	-	Call<Map>	-	Instance	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:187
gate	clouddriver	GET	/instances/{account}/{region}/{instanceId}/console	/instances/{}/{}/{}/console	/instances/{account}/{region}/{id}/console	CLAIM-S2-R0388	1	-	Call<Map>	-	Map	untyped-return	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:194
gate	clouddriver	GET	/projects/{project}/clusters	/projects/{}/clusters	/projects/{project}/clusters	CLAIM-S2-R0410	1	-	Call<List<Map>>	-	List<ClusterModel>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:210
gate	clouddriver	GET	/reports/reservation	/reports/reservation	/reports/reservation	CLAIM-S2-R0411	1	-	Call<List<Map>>	-	Collection<ReservationReport>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:214
gate	clouddriver	GET	/reports/reservation/{name}	/reports/reservation/{}	/reports/reservation/{name}	CLAIM-S2-R0412	1	-	Call<List<Map>>	-	Collection<ReservationReport>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:218
